"","taxa","myc"
"142","Macaranga_beccariana","AM"
"143","Macaranga_bicolor","AM"
"144","Macaranga_pearsonii","AM"
"145","Macaranga_puberula","AM"
"146","Macaranga_pseudopruinosa","AM"
"147","Macaranga_hosei","AM"
"148","Macaranga_pruinosa","AM"
"149","Macaranga_gigantea","AM"
"150","Macaranga_spathicalyx","AM"
"151","Macaranga_costulata","AM"
"152","Macaranga_kinabaluensis","AM"
"153","Macaranga_heynei","AM"
"154","Macaranga_rhizinoides","AM"
"155","Macaranga_denticulata","AM"
"156","Macaranga_angustifolia","AM"
"157","Macaranga_involucrata","AM"
"158","Macaranga_tessellata","AM"
"159","Macaranga_densiflora","AM"
"160","Macaranga_ducis","AM"
"161","Macaranga_clavata","AM"
"162","Macaranga_fallacina","AM"
"163","Macaranga_tanarius","AM"
"164","Macaranga_papuana","AM"
"165","Macaranga_novaguineensis","AM"
"166","Macaranga_aleuritoides","AM"
"167","Macaranga_subpeltata","AM"
"168","Macaranga_quadriglandulosa","AM"
"169","Macaranga_domatiosa","AM"
"170","Macaranga_induta","AM"
"171","Macaranga_albescens","AM"
"172","Macaranga_henryi","AM"
"173","Macaranga_rosuliflora","AM"
"174","Cleidion_bracteosum","AM"
"175","Cleidion_castaneifolium","AM"
"176","Cleidion_brevipetiolatum","AM"
"177","Avellanita_bustillosii","AM"
"178","Ricinus_communis","AM"
"179","Adriana_tomentosa","AM"
"180","Adriana_quadripartita","AM"
"181","Seidelia_triandra","AM"
"182","Seidelia_firmula","AM"
"183","Leidesia_procumbens","AM"
"184","Erythrococca_anomala","AM"
"185","Erythrococca_africana","AM"
"186","Erythrococca_berberidea","AM"
"187","Micrococca_capensis","AM"
"188","Micrococca_mercurialis","AM"
"189","Lobanilia_bakeriana","AM"
"190","Claoxylon_australe","AM"
"191","Claoxylon_glandulosum","AM"
"192","Discoclaoxylon_hexandrum","AM"
"193","Mercurialis_canariensis","AM"
"194","Mercurialis_annua","AM"
"195","Mercurialis_tomentosa","AM"
"196","Mercurialis_reverchonii","AM"
"197","Mercurialis_huetii","AM"
"198","Mercurialis_elliptica","AM"
"199","Mercurialis_leiocarpa","AM"
"200","Mercurialis_perennis","AM"
"201","Lasiococca_comberi","AM"
"202","Spathiostemon_javensis","AM"
"203","Mareya_micrantha","AM"
"204","Mareya_brevipes","AM"
"205","Acalypha_chamaedrifolia","AM"
"206","Acalypha_glechomifolia","AM"
"207","Acalypha_schiedeana","AM"
"208","Acalypha_ostryifolia","AM"
"209","Acalypha_californica","AM"
"210","Acalypha_radians","AM"
"211","Acalypha_setosa","AM"
"212","Acalypha_alopecuroidea","AM"
"213","Acalypha_rhombifolia","AM"
"214","Acalypha_phleoides","AM"
"215","Acalypha_macrostachya","AM"
"216","Acalypha_cuspidata","AM"
"217","Acalypha_gracilens","AM"
"218","Acalypha_rhomboidea","AM"
"219","Acalypha_hispida","AM"
"220","Acalypha_insulana","AM"
"221","Acalypha_platyphylla","AM"
"222","Wetria_australiensis","AM"
"223","Wetria_insignis","AM"
"224","Enriquebeltrania_crenatifolia","AM"
"225","Enriquebeltrania_disjuncta","AM"
"226","Lasiocroton_bahamensis","AM"
"227","Lasiocroton_macrophyllus","AM"
"228","Lasiocroton_harrisii","AM"
"229","Lasiocroton_microphyllus","AM"
"230","Leucocroton_obovatus","AM"
"231","Leucocroton_linearifolius","AM"
